nct_id,drug_name,approval_type,approval_date,approval_year,sponsor
NCT02257541,Mirdametinib,ORIG,20250211,2025,SPRINGWORKS
NCT02257541,Palbociclib,SUPPL,20190909,2019,PFIZER
NCT02257541,Ivosidenib 500mg,SUPPL,20191010,2019,SHILPA
NCT02257541,Pazopanib,ORIG,20231019,2023,TEVA PHARMS INC
NCT02257541,Pazopanib Hydrochloride,SUPPL,20171221,2017,KENVUE BRANDS
NCT02257541,Imatinib Mesylate,ORIG,20250430,2025,SATSUMA PHARMS
NCT01440088,Sunitinib,ORIG,20211206,2021,MYLAN
NCT01440088,Mirdametinib,ORIG,20250211,2025,SPRINGWORKS
NCT01440088,Palbociclib,SUPPL,20190909,2019,PFIZER
NCT01440088,Ivosidenib 500mg,SUPPL,20191010,2019,SHILPA
NCT01440088,Pazopanib,ORIG,20231019,2023,TEVA PHARMS INC
NCT01440088,Pazopanib Hydrochloride,SUPPL,20171221,2017,KENVUE BRANDS
NCT01440088,Imatinib Mesylate,ORIG,20250430,2025,SATSUMA PHARMS
NCT01440088,TH-302 in Combination with Doxorubicin,ORIG,20240214,2024,BAXTER HLTHCARE CORP
NCT01440088,Doxorubicin,SUPPL,19960729,1996,HIKMA
NCT01418001,Sunitinib,ORIG,20211206,2021,MYLAN
NCT01418001,Mirdametinib,ORIG,20250211,2025,SPRINGWORKS
NCT01418001,Palbociclib,SUPPL,20190909,2019,PFIZER
NCT01418001,Ivosidenib 500mg,SUPPL,20191010,2019,SHILPA
NCT01418001,Pazopanib,ORIG,20231019,2023,TEVA PHARMS INC
NCT01418001,Pazopanib Hydrochloride,SUPPL,20171221,2017,KENVUE BRANDS
NCT01418001,Imatinib Mesylate,ORIG,20250430,2025,SATSUMA PHARMS
NCT01418001,TH-302 in Combination with Doxorubicin,ORIG,20240214,2024,BAXTER HLTHCARE CORP
NCT01418001,Doxorubicin,SUPPL,19960729,1996,HIKMA
NCT01141491,Sunitinib,ORIG,20211206,2021,MYLAN
NCT01141491,Mirdametinib,ORIG,20250211,2025,SPRINGWORKS
NCT01141491,Palbociclib,SUPPL,20190909,2019,PFIZER
NCT01141491,Ivosidenib 500mg,SUPPL,20191010,2019,SHILPA
NCT01141491,Pazopanib,ORIG,20231019,2023,TEVA PHARMS INC
NCT01141491,Pazopanib Hydrochloride,SUPPL,20171221,2017,KENVUE BRANDS
NCT01141491,Imatinib Mesylate,ORIG,20250430,2025,SATSUMA PHARMS
NCT01141491,TH-302 in Combination with Doxorubicin,ORIG,20240214,2024,BAXTER HLTHCARE CORP
NCT01141491,Doxorubicin,SUPPL,19960729,1996,HIKMA
NCT01016015,Sunitinib,ORIG,20211206,2021,MYLAN
NCT01016015,Mirdametinib,ORIG,20250211,2025,SPRINGWORKS
NCT01016015,Palbociclib,SUPPL,20190909,2019,PFIZER
NCT01016015,Ivosidenib 500mg,SUPPL,20191010,2019,SHILPA
NCT01016015,Pazopanib,ORIG,20231019,2023,TEVA PHARMS INC
NCT01016015,Pazopanib Hydrochloride,SUPPL,20171221,2017,KENVUE BRANDS
NCT01016015,Imatinib Mesylate,ORIG,20250430,2025,SATSUMA PHARMS
NCT01016015,TH-302 in Combination with Doxorubicin,ORIG,20240214,2024,BAXTER HLTHCARE CORP
NCT01016015,Doxorubicin,SUPPL,19960729,1996,HIKMA
NCT01016015,Temsirolimus,ORIG,20190816,2019,GLAND
NCT00887809,Sunitinib,ORIG,20211206,2021,MYLAN
NCT00887809,Mirdametinib,ORIG,20250211,2025,SPRINGWORKS
NCT00887809,Palbociclib,SUPPL,20190909,2019,PFIZER
NCT00887809,Ivosidenib 500mg,SUPPL,20191010,2019,SHILPA
NCT00887809,Pazopanib,ORIG,20231019,2023,TEVA PHARMS INC
NCT00887809,Pazopanib Hydrochloride,SUPPL,20171221,2017,KENVUE BRANDS
NCT00887809,Imatinib Mesylate,ORIG,20250430,2025,SATSUMA PHARMS
NCT00887809,TH-302 in Combination with Doxorubicin,ORIG,20240214,2024,BAXTER HLTHCARE CORP
